航班日期,航班号,机型,起飞/到达,机位,计划起飞时间,实际起飞时间,实际下轮挡
2021/7/21,FM7031,B789,D,14,2021/7/21 0:10,2021/7/21 0:07,2021/7/20 23:53
2021/7/21,CZ451,B772,D,327,2021/7/21 0:25,2021/7/21 0:42,2021/7/20 23:57
2021/7/21,LD783,A332,D,337,2021/7/21 0:35,2021/7/21 2:08,2021/7/21 1:51
2021/7/21,QR8799,B772,D,304,2021/7/21 2:05,2021/7/21 2:27,2021/7/21 2:18
2021/7/21,HU701,A330,D,584,2021/7/21 2:10,2021/7/21 3:58,2021/7/21 3:41
2021/7/21,TK6527,B772,D,301,2021/7/21 2:10,2021/7/21 5:04,2021/7/21 4:52
2021/7/21,CA611,A359,D,61,2021/7/21 2:15,2021/7/21 4:03,2021/7/21 3:40
2021/7/21,NH8432,B772,D,613,2021/7/21 2:30,2021/7/21 5:04,2021/7/21 4:38
2021/7/21,SV991,B772,D,302,2021/7/21 2:35,2021/7/21 4:17,2021/7/21 4:04
2021/7/21,NH968,B789,D,617,2021/7/21 2:35,2021/7/21 5:18,2021/7/21 4:50
2021/7/21,QR8961,B772,D,303,2021/7/21 2:40,2021/7/21 4:51,2021/7/21 4:44
2021/7/21,NH8518,B763,D,615,2021/7/21 3:10,2021/7/21 4:29,2021/7/21 4:06
2021/7/21,NH8498,B788,D,616,2021/7/21 3:20,2021/7/21 4:22,2021/7/21 3:50
2021/7/21,EY9936,B772,D,318,2021/7/21 3:30,2021/7/21 4:24,2021/7/21 4:04
2021/7/21,N8698,B744,D,331,2021/7/21 3:40,2021/7/21 4:34,2021/7/21 4:12
2021/7/21,CA613,A333,D,809,2021/7/21 3:45,2021/7/21 4:12,2021/7/21 3:52
2021/7/21,CA1067,B772,D,322,2021/7/21 3:45,2021/7/21 4:00,2021/7/21 3:44
2021/7/21,MU7553,A332,D,558,2021/7/21 4:10,2021/7/21 4:21,2021/7/21 3:53
2021/7/21,PO718,B744,D,317,2021/7/21 4:25,2021/7/21 5:27,2021/7/21 5:00
