航班日期,航班号,机型,起飞/到达,机位,计划时间,实际时间,实际上轮挡,计划起飞时间,实际起飞时间
2021/7/21,HU7408,A333,A,190,2021/7/21 0:05,2021/7/21 0:00,2021/7/21 0:09,2021/7/20 23:15,2021/7/20 23:10
2021/7/21,NH8431,B772,A,613,2021/7/21 0:05,2021/7/20 23:42,2021/7/20 23:55,2021/7/20 23:15,2021/7/20 22:52
2021/7/21,QR8960,B772,A,303,2021/7/21 0:10,2021/7/21 1:31,2021/7/21 1:40,2021/7/20 23:20,2021/7/21 0:41
2021/7/21,TK6526,B772,A,301,2021/7/21 0:10,2021/7/21 0:25,2021/7/21 0:36,2021/7/20 23:20,2021/7/20 23:35
2021/7/21,HO1076,A321,A,801,2021/7/21 0:10,2021/7/20 23:36,2021/7/20 23:49,2021/7/20 23:20,2021/7/20 22:46
2021/7/21,MU9070,ARJ2,A,501,2021/7/21 0:10,2021/7/20 23:52,2021/7/21 0:10,2021/7/20 23:20,2021/7/20 23:02
2021/7/21,SV990,B772,A,302,2021/7/21 0:10,2021/7/21 0:54,2021/7/21 1:05,2021/7/20 23:20,2021/7/21 0:04
2021/7/21,CZ6216,A321,A,187,2021/7/21 0:10,2021/7/21 1:13,2021/7/21 1:26,2021/7/20 23:20,2021/7/21 0:23
2021/7/21,FM9136,B738,A,135,2021/7/21 0:15,2021/7/20 23:54,2021/7/21 0:03,2021/7/20 23:25,2021/7/20 23:04
2021/7/21,MU6254,A20N,A,1,2021/7/21 0:15,2021/7/20 23:30,2021/7/20 23:47,2021/7/20 23:25,2021/7/20 22:40
2021/7/21,9C8630,A320,A,173,2021/7/21 0:20,2021/7/20 23:28,2021/7/20 23:42,2021/7/20 23:30,2021/7/20 22:38
2021/7/21,CZ3586,A332,A,150,2021/7/21 0:20,2021/7/21 2:23,2021/7/21 2:36,2021/7/20 23:30,2021/7/21 1:33
2021/7/21,MU5652,A20N,A,115,2021/7/21 0:20,2021/7/21 0:58,2021/7/21 1:10,2021/7/20 23:30,2021/7/21 0:08
2021/7/21,HO1168,A321,A,50,2021/7/21 0:25,2021/7/21 0:12,2021/7/21 0:21,2021/7/20 23:35,2021/7/20 23:22
2021/7/21,MU9344,B789,A,21,2021/7/21 0:25,2021/7/21 0:43,2021/7/21 0:52,2021/7/20 23:35,2021/7/20 23:53
2021/7/21,MU6064,A20N,A,5,2021/7/21 0:25,2021/7/21 1:27,2021/7/21 1:42,2021/7/20 23:35,2021/7/21 0:37
2021/7/21,IR4706,B742,A,319,2021/7/21 0:25,2021/7/21 0:32,2021/7/21 0:40,2021/7/20 23:35,2021/7/20 23:42
2021/7/21,HO1224,A320,A,813,2021/7/21 0:25,2021/7/21 0:48,2021/7/21 0:58,2021/7/20 23:35,2021/7/20 23:58
2021/7/21,9C6154,A321,A,154,2021/7/21 0:25,2021/7/21 0:17,2021/7/21 0:33,2021/7/20 23:35,2021/7/20 23:27
2021/7/21,HO1188,A321,A,803,2021/7/21 0:30,2021/7/20 23:46,2021/7/20 23:56,2021/7/20 23:40,2021/7/20 22:56
2021/7/21,HO1278,A20N,A,97,2021/7/21 0:30,2021/7/21 1:52,2021/7/21 2:01,2021/7/20 23:40,2021/7/21 1:02
2021/7/21,FM9370,B738,A,103,2021/7/21 0:30,2021/7/20 23:52,2021/7/21 0:05,2021/7/20 23:40,2021/7/20 23:02
2021/7/21,HU7494,B738,A,179,2021/7/21 0:35,2021/7/21 1:14,2021/7/21 1:28,2021/7/20 23:45,2021/7/21 0:24
2021/7/21,HO1040,A320,A,84,2021/7/21 0:35,2021/7/21 0:57,2021/7/21 21:54,2021/7/20 23:45,2021/7/21 0:07
2021/7/21,HO1026,A320,A,94,2021/7/21 0:35,2021/7/21 0:34,2021/7/21 0:46,2021/7/20 23:45,2021/7/20 23:44
2021/7/21,N8697,B744,A,331,2021/7/21 0:35,2021/7/21 0:45,2021/7/21 1:07,2021/7/20 23:45,2021/7/20 23:55
2021/7/21,NH8497,B788,A,616,2021/7/21 0:35,2021/7/21 1:24,2021/7/21 1:37,2021/7/20 23:45,2021/7/21 0:34
2021/7/21,MU5612,A20N,A,7,2021/7/21 0:40,2021/7/21 0:32,2021/7/21 0:46,2021/7/20 23:50,2021/7/20 23:42
2021/7/21,MU6780,A320,A,562,2021/7/21 0:40,2021/7/21 2:16,2021/7/21 2:26,2021/7/20 23:50,2021/7/21 1:26
2021/7/21,HO1222,A320,A,98,2021/7/21 0:40,2021/7/21 0:42,2021/7/21 0:53,2021/7/20 23:50,2021/7/20 23:52
2021/7/21,Y87510,B738,A,169,2021/7/21 0:45,2021/7/21 1:29,2021/7/21 1:36,2021/7/20 23:55,2021/7/21 0:39
2021/7/21,HO1118,A320,A,96,2021/7/21 0:45,2021/7/21 0:55,2021/7/21 1:03,2021/7/20 23:55,2021/7/21 0:05
2021/7/21,FM9218,B738,A,2,2021/7/21 0:45,2021/7/21 3:03,2021/7/21 3:18,2021/7/20 23:55,2021/7/21 2:13
2021/7/21,9C6818,A320,A,162,2021/7/21 0:50,2021/7/21 1:18,2021/7/21 1:24,2021/7/21 0:00,2021/7/21 0:28
2021/7/21,HO1172,A321,A,810,2021/7/21 0:50,2021/7/21 0:33,2021/7/21 0:41,2021/7/21 0:00,2021/7/20 23:43
2021/7/21,HO1154,A320,A,816,2021/7/21 0:50,2021/7/21 1:00,2021/7/21 1:11,2021/7/21 0:00,2021/7/21 0:10
2021/7/21,CA1994,A321,A,802,2021/7/21 0:55,2021/7/21 3:32,2021/7/21 3:42,2021/7/21 0:05,2021/7/21 2:42
